Survived,Age,SibSp,Parch,Fare,Pclass_2,Pclass_3,Sex_1
0,56.0,0,0,3.424125837416519,0,0,1
0,18.0,1,1,2.061048420562944,0,1,1
0,50.0,0,0,3.3573325680152166,0,0,0
0,30.0,0,0,2.5649493574615367,1,0,1
0,36.0,0,0,0.0,0,1,1
0,9.0,4,2,3.4464097244837033,0,1,1
1,1.0,2,1,3.6635616461296463,1,0,1
1,4.0,0,2,3.092178171822243,0,1,0
1,45.0,0,0,3.279029747687948,0,0,1
0,40.0,1,1,2.740840023925201,0,1,1
0,36.0,0,0,2.0663309725297405,0,1,1
1,32.0,0,0,2.5649493574615367,1,0,0
0,19.0,0,0,2.5649493574615367,1,0,1
1,19.0,1,0,2.061048420562944,0,1,0
1,3.0,1,1,3.258096538021482,1,0,1
1,44.0,0,0,3.32218303393412,0,0,0
1,58.0,0,0,4.9871673979011675,0,0,0
0,42.0,0,1,2.128731580890919,0,1,1
0,24.0,0,0,2.5649493574615367,1,0,0
0,28.0,0,0,2.2512917986064953,0,1,1
0,34.0,0,0,1.8711558142080713,0,1,1
0,45.5,0,0,1.9775472339984959,0,1,1
1,18.0,0,0,2.0856720914304723,0,1,1
0,2.0,0,1,2.3477974358155937,0,1,0
0,32.0,1,0,2.7631695003232895,0,1,1
1,26.0,0,0,2.933191755079093,0,1,1
1,16.0,0,0,2.0476928433652555,0,1,0
1,40.0,0,0,3.4339872044851463,0,0,1
0,24.0,0,0,1.9530276168241774,0,1,1
1,35.0,0,0,3.044522437723423,1,0,0
0,22.0,0,0,1.9810014688665833,0,1,1
0,30.0,0,0,2.5649493574615367,1,0,1
1,31.0,1,0,4.729818490553202,0,0,0
1,27.0,0,0,2.0700223197633445,0,1,0
0,42.0,1,0,3.295836866004329,1,0,1
1,32.0,0,0,4.334564151246186,0,0,0
0,30.0,0,0,2.3513752571634776,1,0,1
1,16.0,0,0,2.0856720914304723,0,1,1
0,27.0,0,0,2.5649493574615367,1,0,1
0,51.0,0,0,2.0856720914304723,0,1,1
1,38.0,1,0,4.499809670330265,0,0,1
0,22.0,0,0,2.2353763433005955,0,1,1
1,19.0,0,0,2.3513752571634776,1,0,1
0,20.5,0,0,1.9810014688665833,0,1,1
0,18.0,0,0,2.5649493574615367,1,0,1
1,35.0,1,0,4.424547185829718,0,0,0
0,29.0,0,0,2.0509134580652977,0,1,1
0,59.0,0,0,2.6026896854443837,1,0,1
1,5.0,4,2,3.4464097244837033,0,1,0
0,24.0,0,0,2.3513752571634776,1,0,1
0,44.0,1,0,3.258096538021482,1,0,1
1,8.0,0,2,3.2676659890376327,1,0,0
0,19.0,0,0,2.3513752571634776,1,0,1
0,33.0,0,0,2.507564673680584,1,0,1
0,29.0,0,0,2.3513752571634776,1,0,1
0,22.0,0,0,1.9636097261547143,0,1,1
0,30.0,0,0,1.9775472339984959,0,1,1
0,44.0,2,0,4.499809670330265,0,0,1
0,25.0,0,0,2.0509134580652977,0,1,0
1,24.0,0,2,2.6741486494265287,1,0,0
1,37.0,1,1,3.961845018011234,0,0,1
0,54.0,1,0,3.258096538021482,1,0,1
0,29.0,1,1,2.3477974358155937,0,1,0
0,62.0,0,0,3.279029747687948,0,0,1
0,30.0,1,0,2.7788192719904172,0,1,1
0,41.0,0,2,3.006301224903225,0,1,0
1,29.0,0,2,2.7243040552851014,0,1,0
1,30.0,0,0,4.460144413937834,0,0,0
1,35.0,0,0,6.238967387173662,0,0,0
1,50.0,0,1,3.258096538021482,1,0,0
1,3.0,4,2,3.4464097244837033,0,1,1
0,52.0,1,1,4.3776420363560575,0,0,1
0,40.0,0,0,0.0,0,0,1
0,36.0,0,0,2.3513752571634776,1,0,1
0,16.0,4,1,3.6810362766529106,0,1,1
1,25.0,1,0,2.0509134580652977,0,1,1
1,58.0,0,1,5.033456237506958,0,0,0
1,35.0,0,0,4.909954920578875,0,0,0
1,25.0,0,0,0.0,0,1,1
1,41.0,0,1,2.970414465569701,1,0,0
0,37.0,0,1,3.391147045808654,0,0,1
1,63.0,1,0,4.356174068347218,0,0,0
0,45.0,0,0,2.0476928433652555,0,1,0
0,7.0,4,1,3.371596911885865,0,1,1
1,35.0,1,1,3.0081547935525483,0,1,0
0,65.0,0,0,2.0476928433652555,0,1,1
0,28.0,0,0,2.061048420562944,0,1,1
0,16.0,0,0,2.2512917986064953,0,1,1
1,19.0,0,0,2.0856720914304723,0,1,1
0,33.0,0,0,2.1590033645160216,0,1,1
1,30.0,0,0,2.2512917986064953,0,1,1
0,22.0,0,0,2.0663309725297405,0,1,1
1,42.0,0,0,2.5649493574615367,1,0,1
1,22.0,0,0,2.0476928433652555,0,1,0
1,26.0,0,0,4.367547313409047,0,0,0
1,19.0,1,0,4.51172945766992,0,0,0
0,36.0,0,0,2.5552874465497997,1,0,1
0,24.0,0,0,2.180417459019838,0,1,0
0,24.0,0,0,2.0663309725297405,0,1,1
0,23.5,0,0,1.9781283799793465,0,1,1
0,2.0,1,2,5.020915603503812,0,0,0
1,50.0,0,1,5.5114946188815885,0,0,0
0,19.0,0,0,0.0,0,1,1
1,0.92,1,2,5.020915603503812,0,0,1
1,17.0,1,0,4.690430029938915,0,0,0
0,30.0,1,0,3.1780538303479458,1,0,1
1,30.0,0,0,4.041808390519271,0,0,0
1,24.0,0,0,4.4207460202604185,0,0,0
1,18.0,2,2,5.569774778140797,0,0,0
0,26.0,1,1,3.258096538021482,1,0,0
0,28.0,0,0,2.0663309725297405,0,1,1
0,43.0,1,1,3.2676659890376327,1,0,1
1,26.0,0,0,2.061048420562944,0,1,0
1,24.0,1,0,3.258096538021482,1,0,0
0,54.0,0,0,2.6390573296152584,1,0,1
1,31.0,0,2,5.1051372686027685,0,0,0
1,40.0,1,1,4.901564199041894,0,0,0
0,22.0,0,0,1.9810014688665833,0,1,1
0,27.0,0,0,2.0663309725297405,0,1,1
1,30.0,0,0,2.513656063073986,1,0,0
1,22.0,1,1,3.367295829986474,1,0,0
1,36.0,0,0,4.909954920578875,0,0,0
0,61.0,0,0,1.830579461077637,0,1,1
1,36.0,0,0,2.5649493574615367,1,0,0
1,31.0,1,1,3.021643655338492,0,1,0
1,16.0,0,1,4.0600843255369865,0,0,0
0,45.5,0,0,3.349904087274605,0,0,1
0,38.0,0,1,5.033456237506958,0,0,1
0,16.0,2,0,2.8903717578961645,0,1,1
0,29.0,1,0,4.198704577546343,0,0,1
1,41.0,0,0,4.901564199041894,0,0,0
1,45.0,0,0,2.0856720914304723,0,1,1
0,45.0,0,0,3.56953269648137,0,0,1
1,2.0,1,1,3.258096538021482,1,0,1
1,24.0,3,2,5.572154032177765,0,0,0
0,28.0,0,0,2.5649493574615367,1,0,1
0,25.0,0,0,2.5649493574615367,1,0,1
0,36.0,0,0,2.5649493574615367,1,0,1
1,24.0,0,0,2.5649493574615367,1,0,0
1,40.0,0,0,2.5649493574615367,1,0,0
1,3.0,1,1,2.766319109226186,0,1,1
0,42.0,0,0,2.1590033645160216,0,1,1
0,23.0,0,0,2.221917189926591,0,1,1
0,15.0,1,1,1.9781283799793465,0,1,1
0,25.0,1,0,2.8791984572980396,0,1,1
0,28.0,0,0,2.2512917986064953,0,1,1
1,22.0,0,1,4.007333185232471,0,0,0
0,38.0,0,0,2.5649493574615367,1,0,0
0,40.0,1,4,3.32862668882732,0,1,1
0,29.0,1,0,3.32218303393412,1,0,1
0,45.0,0,1,2.6709850297651974,0,1,0
0,35.0,0,0,1.9530276168241774,0,1,1
0,30.0,0,0,1.9810014688665833,0,1,1
1,60.0,1,0,4.3208159036289855,0,0,0
1,24.0,0,0,4.238444906195857,0,0,0
1,25.0,1,0,4.015332018192187,0,0,1
0,18.0,1,0,1.8711558142080713,0,1,1
0,19.0,0,0,2.0856720914304723,0,1,1
0,22.0,0,0,4.909954920578875,0,0,1
0,3.0,3,1,3.048087503887919,0,1,0
1,22.0,0,0,1.9810014688665833,0,1,0
0,27.0,0,2,5.354224998486333,0,0,1
0,20.0,0,0,1.3894144884561344,0,1,1
0,19.0,0,0,2.0509134580652977,0,1,1
1,42.0,0,0,5.427260122463419,0,0,0
1,1.0,0,2,2.7563132422397203,0,1,0
0,32.0,0,0,2.0700223197633445,0,1,1
1,35.0,1,0,3.9512437185814275,0,0,0
0,18.0,0,0,4.297285406218791,1,0,1
0,1.0,5,2,3.8480176754522337,0,1,1
1,36.0,0,0,2.5649493574615367,1,0,0
1,17.0,0,0,2.4849066497880004,1,0,0
1,36.0,1,2,4.787491742782046,0,0,1
1,21.0,0,0,2.0535851271346086,0,1,1
0,28.0,2,0,2.0700223197633445,0,1,1
1,23.0,1,0,4.729818490553202,0,0,0
1,24.0,0,2,2.8154087194227095,0,1,0
0,22.0,0,0,2.0535851271346086,0,1,1
0,31.0,0,0,2.061048420562944,0,1,0
0,46.0,0,0,3.258096538021482,1,0,1
0,23.0,0,0,2.3513752571634776,1,0,1
1,28.0,0,0,2.5376572151735295,1,0,0
1,39.0,0,0,2.0700223197633445,0,1,1
0,26.0,0,0,2.0856720914304723,0,1,1
0,21.0,1,0,2.284930157755325,0,1,0
0,28.0,1,0,2.7631695003232895,0,1,1
0,20.0,0,0,2.1590033645160216,0,1,0
0,34.0,1,0,3.044522437723423,1,0,1
0,51.0,0,0,2.0476928433652555,0,1,1
1,3.0,1,1,2.9311937524164198,1,0,1
0,21.0,0,0,2.0509134580652977,0,1,1
1,33.0,1,0,4.499809670330265,0,0,0
1,44.0,0,0,2.0700223197633445,0,1,1
1,34.0,1,1,3.481240089335692,1,0,0
1,18.0,0,2,2.5649493574615367,1,0,0
0,30.0,0,0,2.5649493574615367,1,0,1
0,10.0,0,2,3.184284380098582,0,1,0
0,21.0,0,0,2.0455356796500372,0,1,1
0,29.0,0,0,2.063693184711697,0,1,1
0,28.0,1,1,2.667228206581955,0,1,0
0,18.0,1,1,3.006301224903225,0,1,1
1,28.0,1,0,3.258096538021482,1,0,0
1,19.0,0,0,3.258096538021482,1,0,0
1,32.0,0,0,2.0856720914304723,0,1,1
1,28.0,0,0,3.279029747687948,0,0,1
1,42.0,1,0,3.258096538021482,1,0,0
0,17.0,0,0,1.9636097261547143,0,1,1
0,50.0,1,0,4.023564380161053,0,0,1
1,14.0,1,2,4.787491742782046,0,0,0
0,21.0,2,2,3.5373295559867355,0,1,0
1,24.0,2,3,2.9311937524164198,1,0,0
0,64.0,1,4,5.572154032177765,0,0,1
0,31.0,0,0,2.3513752571634776,1,0,1
1,45.0,1,1,3.2676659890376327,1,0,0
0,20.0,0,0,2.2512917986064953,0,1,1
0,25.0,1,0,2.0509134580652977,0,1,1
1,28.0,0,0,2.5649493574615367,1,0,0
1,4.0,0,2,4.404989703685167,0,0,1
1,13.0,0,1,2.970414465569701,1,0,0
1,34.0,0,0,3.279029747687948,0,0,1
1,5.0,2,1,2.957942136638392,0,1,0
1,52.0,0,0,3.417726683613366,0,0,1
0,36.0,1,2,3.3232358401924436,1,0,1
0,30.0,0,0,3.3232358401924436,0,0,1
1,49.0,1,0,4.489806471412939,0,0,1
1,29.0,0,0,2.0663309725297405,0,1,1
0,65.0,0,0,3.279029747687948,0,0,1
1,50.0,0,0,2.3513752571634776,1,0,0
1,48.0,0,0,3.279029747687948,0,0,1
0,34.0,0,0,2.0856720914304723,0,1,1
0,47.0,0,0,3.6506582412937387,0,0,1
0,48.0,0,0,2.5649493574615367,1,0,1
0,38.0,0,0,1.9530276168241774,0,1,1
0,56.0,0,0,3.279029747687948,0,0,1
1,0.75,2,1,2.957942136638392,0,1,0
0,38.0,0,0,2.1590033645160216,0,1,1
1,33.0,1,2,3.3232358401924436,1,0,0
1,23.0,0,0,2.6240669619446257,1,0,0
0,22.0,0,0,2.2862016137435215,0,1,0
0,34.0,1,0,3.044522437723423,1,0,1
0,29.0,1,0,1.9524316946169533,0,1,1
0,22.0,0,0,2.017672515282204,0,1,1
1,2.0,0,1,2.5085824854732848,0,1,0
0,9.0,5,2,3.8480176754522337,0,1,1
0,50.0,0,0,2.0856720914304723,0,1,1
1,63.0,0,0,2.260460166693375,0,1,0
1,25.0,1,0,4.51172945766992,0,0,1
1,35.0,1,0,4.499809670330265,0,0,0
0,58.0,0,0,3.391147045808654,0,0,1
0,30.0,0,0,2.0856720914304723,0,1,1
1,9.0,1,1,2.766319109226186,0,1,1
0,21.0,0,0,1.9810014688665833,0,1,1
0,55.0,0,0,3.417726683613366,0,0,1
0,71.0,0,0,3.902057514460064,0,0,1
0,21.0,0,0,2.0856720914304723,0,1,1
1,54.0,1,0,4.3601222251801195,0,0,0
0,25.0,1,2,5.020915603503812,0,0,0
0,24.0,0,0,2.0535851271346086,0,1,1
0,17.0,0,0,2.1590033645160216,0,1,1
0,21.0,0,0,2.0476928433652555,0,1,0
0,37.0,0,0,2.260460166693375,0,1,0
1,16.0,0,0,4.460144413937834,0,0,0
0,18.0,1,0,4.690430029938915,0,0,1
1,33.0,0,2,3.258096538021482,1,0,0
0,28.0,0,0,3.1146258034944014,0,1,1
1,26.0,0,0,4.034166299106131,0,1,1
1,29.0,0,0,2.0476928433652555,0,1,1
1,36.0,0,0,3.2690935410288184,0,0,1
1,54.0,1,0,4.084294226368599,0,0,0
0,24.0,0,0,2.0143428636837015,0,1,1
0,47.0,0,0,3.5269721022703,0,0,1
1,34.0,0,0,2.3513752571634776,1,0,0
1,36.0,1,0,3.258096538021482,1,0,0
0,32.0,0,0,2.0663309725297405,0,1,1
1,30.0,0,0,4.537961436294641,0,0,0
0,22.0,0,0,2.0663309725297405,0,1,1
1,44.0,0,1,4.0600843255369865,0,0,0
0,40.5,0,0,2.0476928433652555,0,1,1
1,50.0,0,0,2.3513752571634776,1,0,0
0,39.0,0,0,2.0700223197633445,0,1,1
0,23.0,2,1,2.4423470353692043,1,0,1
1,2.0,1,1,3.258096538021482,1,0,0
0,17.0,1,1,1.9781283799793465,0,1,1
0,30.0,0,0,2.1590033645160216,0,1,0
1,7.0,0,2,3.2676659890376327,1,0,0
0,45.0,0,0,3.279029747687948,0,0,1
1,30.0,0,0,4.667440511714216,0,0,0
1,22.0,0,2,3.901972669574645,0,0,0
1,36.0,0,2,4.2626798770413155,0,0,0
0,9.0,4,2,3.442819056352975,0,1,0
0,11.0,4,2,3.442819056352975,0,1,0
1,32.0,1,0,3.258096538021482,1,0,1
0,50.0,1,0,4.667440511714216,0,0,1
0,64.0,0,0,3.258096538021482,0,0,1
1,19.0,1,0,3.258096538021482,1,0,0
0,33.0,1,1,3.021643655338492,0,1,1
1,8.0,1,1,3.6041382256588457,1,0,1
1,17.0,0,2,4.708478296903478,0,0,1
0,27.0,0,0,3.258096538021482,1,0,1
1,22.0,0,0,1.9775472339984959,0,1,1
1,22.0,0,0,2.0509134580652977,0,1,0
0,62.0,0,0,3.279029747687948,0,0,1
1,48.0,1,0,3.6788291182604347,0,0,0
1,39.0,1,1,4.3776420363560575,0,0,0
1,36.0,1,0,2.856470206220483,0,1,0
0,40.0,0,0,2.0663309725297405,0,1,1
0,28.0,0,0,2.6026896854443837,1,0,1
0,24.0,2,0,3.184284380098582,0,1,1
0,19.0,0,0,2.0663309725297405,0,1,1
0,29.0,0,4,3.048087503887919,0,1,0
1,32.0,0,0,2.061048420562944,0,1,1
1,62.0,0,0,2.3513752571634776,1,0,1
1,53.0,2,0,3.9411778425916384,0,0,0
1,36.0,0,0,3.272890413174439,0,0,1
0,16.0,0,0,2.0856720914304723,0,1,1
0,19.0,0,0,2.6741486494265287,0,1,1
1,34.0,0,0,2.5649493574615367,1,0,0
1,39.0,1,0,4.023564380161053,0,0,0
1,32.0,0,0,2.0700223197633445,0,1,1
1,25.0,1,1,3.4011973816621555,1,0,0
1,39.0,1,1,4.708478296903478,0,0,0
0,54.0,0,0,3.258096538021482,1,0,1
0,36.0,0,0,3.69199958145018,0,0,1
1,18.0,0,2,4.3776420363560575,0,0,0
0,47.0,0,0,2.70805020110221,1,0,1
1,60.0,1,1,4.37197629882038,0,0,1
0,22.0,0,0,2.0856720914304723,0,1,1
0,35.0,0,0,1.9636097261547143,0,1,1
1,52.0,1,0,4.3601222251801195,0,0,0
0,47.0,0,0,1.9810014688665833,0,1,1
0,37.0,1,0,3.258096538021482,1,0,1
0,36.0,1,1,3.184284380098582,0,1,1
0,49.0,0,0,0.0,0,1,1
1,49.0,1,0,4.041808390519271,0,0,1
1,24.0,2,1,3.295836866004329,1,0,0
0,44.0,0,0,2.0856720914304723,0,1,1
1,35.0,0,0,3.279029747687948,0,0,1
0,36.0,1,0,2.744060638625243,0,1,1
0,30.0,0,0,2.0663309725297405,0,1,1
1,27.0,0,0,3.417726683613366,0,0,1
1,22.0,1,2,3.7276000422255353,1,0,0
1,40.0,0,0,5.033456237506958,0,0,0
0,39.0,1,5,3.442819056352975,0,1,0
0,35.0,0,0,2.0856720914304723,0,1,1
1,24.0,1,2,4.174387269895637,1,0,0
0,34.0,1,1,2.667228206581955,0,1,1
0,26.0,1,0,2.7788192719904172,0,1,0
1,4.0,2,1,3.6635616461296463,1,0,0
0,26.0,0,0,2.3513752571634776,1,0,1
0,27.0,1,0,2.6709850297651974,0,1,1
1,42.0,1,0,3.961845018011234,0,0,1
1,20.0,1,1,2.7563132422397203,0,1,1
0,21.0,0,0,2.061048420562944,0,1,1
0,21.0,0,0,2.7788192719904172,0,1,1
0,61.0,0,0,3.4757109858218045,0,0,1
0,57.0,0,0,2.513656063073986,1,0,1
1,21.0,0,0,4.356174068347218,0,0,0
0,26.0,0,0,2.0663309725297405,0,1,1
1,80.0,0,0,3.4011973816621555,0,0,1
0,51.0,0,0,1.9536231841196134,0,1,1
1,32.0,0,0,3.417726683613366,0,0,1
0,9.0,3,2,3.32862668882732,0,1,0
1,28.0,0,0,2.5649493574615367,1,0,0
0,32.0,0,0,2.0700223197633445,0,1,1
0,31.0,1,1,3.2676659890376327,1,0,1
0,41.0,0,5,3.6810362766529106,0,1,0
0,20.0,0,0,2.061048420562944,0,1,1
1,24.0,0,0,4.238444906195857,0,0,0
0,2.0,3,2,3.32862668882732,0,1,0
1,0.75,2,1,2.957942136638392,0,1,0
1,48.0,1,0,4.340282339965535,0,0,1
0,19.0,0,0,2.0663309725297405,0,1,1
1,56.0,0,0,3.56953269648137,0,0,1
1,23.0,0,0,2.0215475632609334,0,1,0
1,18.0,0,1,3.1354942159291497,1,0,0
0,21.0,0,0,2.132188154488383,0,1,1
0,18.0,0,0,1.9095425048844386,0,1,0
0,24.0,2,0,4.297285406218791,1,0,1
0,32.0,1,1,2.740840023925201,0,1,0
0,23.0,0,0,2.5649493574615367,1,0,1
0,58.0,0,2,4.729818490553202,0,0,1
1,50.0,2,0,4.895224442584928,0,0,1
0,40.0,0,0,1.9775472339984959,0,1,1
0,47.0,0,0,3.2421039509874077,0,0,1
0,36.0,0,0,2.0143428636837015,0,1,1
1,20.0,1,0,2.0700223197633445,0,1,1
0,32.0,2,0,4.297285406218791,1,0,1
0,25.0,0,0,2.5649493574615367,1,0,1
0,43.0,0,0,2.0856720914304723,0,1,1
1,40.0,1,1,3.6635616461296463,1,0,0
0,31.0,1,0,3.9512437185814275,0,0,1
0,70.0,0,0,2.3513752571634776,1,0,1
1,31.0,0,0,2.5649493574615367,1,0,1
0,18.0,0,0,2.0509134580652977,0,1,1
0,24.5,0,0,2.0856720914304723,0,1,1
1,18.0,0,0,2.286628460369784,0,1,0
0,43.0,1,6,3.8480176754522337,0,1,0
1,36.0,0,1,6.238967387173662,0,0,1
1,27.0,0,0,4.340282339965535,0,0,1
0,20.0,0,0,2.221917189926591,0,1,1
0,14.0,5,2,3.8480176754522337,0,1,1
0,60.0,1,1,3.6635616461296463,1,0,1
0,25.0,1,2,3.7276000422255353,1,0,1
0,14.0,4,1,3.6810362766529106,0,1,1
0,19.0,0,0,2.319520869700248,0,1,1
0,18.0,0,0,2.0535851271346086,0,1,1
1,15.0,0,1,5.353456381663085,0,0,0
1,31.0,1,0,4.04305126783455,0,0,1
1,4.0,0,1,2.5965001996654262,0,1,0
0,25.0,0,0,1.9775472339984959,0,1,1
0,60.0,0,0,3.279029747687948,0,0,1
0,52.0,0,0,2.6026896854443837,1,0,1
0,44.0,0,0,2.0856720914304723,0,1,1
0,49.0,1,1,4.708478296903478,0,0,1
0,42.0,0,0,2.0347056478384444,0,1,1
1,18.0,1,0,5.427260122463419,0,0,0
1,35.0,0,0,3.2690935410288184,0,0,1
0,18.0,0,1,2.6709850297651974,0,1,0
0,25.0,0,0,2.046621301727582,0,1,1
0,26.0,1,0,2.061048420562944,0,1,1
0,39.0,0,0,3.258096538021482,1,0,1
1,45.0,0,0,2.6026896854443837,1,0,0
1,42.0,0,0,3.2690935410288184,0,0,1
1,22.0,0,0,5.020915603503812,0,0,0
1,24.0,0,0,3.902057514460064,0,0,0
1,48.0,1,0,3.9512437185814275,0,0,1
0,29.0,0,0,2.2495323569595644,0,1,1
0,52.0,0,0,2.5649493574615367,1,0,1
